Date,Demand (MW),Temp_max,Temp_min,Humidity,Pressure,Wind_speed,Population Density
11/5/2012,601,34,27,76,1005,4,4272975
12/5/2012,595,33,27,78,1004,4,4272975
13/05/2012,595,33,24,75,1005,6,4272975
14/05/2012,590,34,28,74,1003,7,4272975
15/05/2012,610,34,25,78,1004,6,4272975
16/05/2012,608,31,22,75,1004,5,4272975
17/05/2012,603,34,24,74,1003,6,4272975
18/05/2012,587,34,25,68,1003,3,4272975
19/05/2012,587,31,26,70,1004,5,4272975
20/05/2012,620,32,24,82,1005,4,4272975
21/05/2012,651,34,26,74,1003,5,4272975
22/05/2012,638,34,29,76,1005,3,4272975
23/05/2012,651,35,28,77,1004,6,4272975
24/05/2012,652,34,25,76,1004,6,4272975
25/05/2012,620,35,26,71,1007,5,4272975
26/05/2012,631,34,27,69,1001,6,4272975
27/05/2012,635,35,26,71,1006,4,4272975
28/05/2012,628,34,26,70,1004,4,4272975
29/05/2012,654,35,27,77,1007,5,4272975
30/05/2012,646,35,26,79,1005,6,4272975
31/05/2012,656,32,26,74,1003,6,4272975
1/6/2012,642,27,25,83,1001,4,4272975
2/6/2012,655,29,24,87,998,7,4272975
3/6/2012,645,33,24,81,998,8,4272975
4/6/2012,665,34,29,82,999,6,4272975
5/6/2012,625,31,24,76,1000,6,4272975
6/6/2012,654,32,24,85,998,4,4272975
7/6/2012,654,31,25,89,1000,4,4272975
8/6/2012,654,33,25,82,997,4,4272975
9/6/2012,640,35,29,75,999,4,4272975
10/6/2012,645,34,27,75,997,7,4272975
11/6/2012,645,33,27,74,998,4,4272975
12/6/2012,657,34,28,78,1000,4,4272975
13/06/2012,650,34,28,76,1001,4,4272975
14/06/2012,645,34,27,77,1002,4,4272975
15/06/2012,642,29,24,82,999,7,4272975
16/06/2012,613,24,24,94,998,6,4272975
17/06/2012,618,32,24,88,998,6,4272975
18/06/2012,619,33,27,79,997,4,4272975
19/06/2012,612,33,26,76,997,4,4272975
20/06/2012,620,32,27,84,995,4,4272975
21/06/2012,607,29,27,85,998,7,4272975
22/06/2012,602,31,27,84,1001,8,4272975
23/06/2012,612,30,26,87,1002,7,4272975
24/06/2012,605,28,26,95,998,7,4272975
25/06/2012,565,27,25,95,999,4,4272975
26/06/2012,590,31,27,90,999,6,4272975
27/06/2012,594,28,24,90,1000,7,4272975
28/06/2012,570,32,24,84,1000,4,4272975
29/06/2012,563,35,27,86,997,4,4272975
30/06/2012,572,33,28,88,996,6,4272975
1/7/2012,625,35,27,76,997,4,4272975
2/7/2012,622,33,26,82,998,6,4272975
3/7/2012,590,30,26,84,997,4,4272975
4/7/2012,586,31,26,83,999,6,4272975
5/7/2012,610,32,27,86,996,5,4272975
6/7/2012,617,32,26,77,997,6,4272975
7/7/2012,586,31,26,82,1001,6,4272975
8/7/2012,610,30,26,83,1001,7,4272975
9/7/2012,600,31,26,80,1003,6,4272975
10/7/2012,597,31,26,85,1001,5,4272975
11/7/2012,600,31,26,80,1002,6,4272975
12/7/2012,609,30,26,81,1001,6,4272975
13/07/2012,598,33,26,88,1000,4,4272975
14/07/2012,590,33,26,81,1004,7,4272975
15/07/2012,596,31,25,86,1003,7,4272975
16/07/2012,621,30,27,89,1002,5,4272975
17/07/2012,606,32,26,86,1001,6,4272975
18/07/2012,605,32,26,91,999,6,4272975
19/07/2012,608,31,26,85,997,6,4272975
20/07/2012,587,33,26,79,998,4,4272975
21/07/2012,610,31,26,75,1002,7,4272975
22/07/2012,611,29,16,85,1001,7,4272975
23/07/2012,628,32,26,88,998,7,4272975
24/07/2012,611,31,27,81,997,6,4272975
25/07/2012,620,33,27,81,1000,6,4272975
26/07/2012,612,32,26,77,997,6,4272975
27/07/2012,628,29,26,85,999,6,4272975
28/07/2012,631,29,25,87,1000,7,4272975
29/07/2012,637,30,26,85,1001,9,4272975
30/07/2012,636,31,25,76,1001,7,4272975
31/07/2012,627,30,26,83,1000,7,4272975
1/8/2012,620,30,25,83,998,7,4272975
2/8/2012,621,30,26,84,999,7,4272975
3/8/2012,642,33,25,85,996,4,4272975
4/8/2012,634,35,25,80,998,6,4272975
5/8/2012,639,30,26,76,1002,9,4272975
6/8/2012,639,31,26,78,1001,6,4272975
7/8/2012,636,32,26,84,1002,8,4272975
8/8/2012,626,31,26,87,1003,6,4272975
9/8/2012,625,33,26,79,998,6,4272975
10/8/2012,603,32,26,81,1000,6,4272975
11/8/2012,621,32,26,80,1002,6,4272975
